Age,Annual Salary (USD),Device Used
56.0,132526.0,Mobile
69.0,183906.0,Desktop
46.0,113793.0,Tablet
32.0,41999.0,Desktop
60.0,185214.0,Desktop
25.0,124792.0,Desktop
38.0,155367.0,Desktop
56.0,137500.0,Desktop
36.0,143685.0,Mobile
40.0,139479.0,Desktop
28.0,108393.0,Desktop
28.0,120768.0,Mobile
41.0,44867.0,Desktop
53.0,141040.0,Tablet
57.0,125441.0,Desktop
41.0,138105.0,Mobile
20.0,21286.0,Mobile
39.0,126299.0,Desktop
19.0,172362.0,Tablet
41.0,150221.0,Desktop
61.0,119152.0,Desktop
47.0,120960.0,Desktop
55.0,82881.0,Tablet
19.0,168005.0,Mobile
38.0,119984.0,Mobile
50.0,33082.0,Tablet
29.0,126091.0,Mobile
39.0,25863.0,Tablet
61.0,21984.0,Mobile
42.0,142181.0,Desktop
66.0,70189.0,Desktop
44.0,108039.0,Desktop
59.0,184096.0,Mobile
45.0,119855.0,Tablet
33.0,64430.0,Desktop
32.0,82004.0,Tablet
64.0,142652.0,Tablet
68.0,155204.0,Desktop
61.0,50086.0,Mobile
69.0,118651.0,Mobile
20.0,29462.0,Desktop
54.0,192421.0,Mobile
68.0,37323.0,Mobile
24.0,33167.0,Tablet
38.0,25067.0,Tablet
26.0,76987.0,Tablet
56.0,18226.0,Mobile
35.0,171633.0,Tablet
21.0,128576.0,Tablet
42.0,116123.0,Mobile
31.0,51738.0,Mobile
67.0,90794.0,Desktop
26.0,130112.0,Tablet
43.0,46655.0,Tablet
19.0,115409.0,Desktop
37.0,33854.0,Desktop
45.0,194747.0,Tablet
64.0,99811.0,Mobile
24.0,190205.0,Tablet
61.0,50915.0,Desktop
25.0,92789.0,Tablet
64.0,43737.0,Mobile
52.0,153973.0,Desktop
31.0,98094.0,Desktop
34.0,25001.0,Mobile
53.0,135804.0,Mobile
67.0,177883.0,Mobile
57.0,113538.0,Mobile
21.0,137600.0,Desktop
19.0,118074.0,Mobile
23.0,146018.0,Tablet
59.0,74489.0,Desktop
21.0,52896.0,Desktop
46.0,55927.0,Desktop
35.0,178402.0,Tablet
43.0,189642.0,Tablet
61.0,172923.0,Mobile
51.0,36185.0,Mobile
27.0,141734.0,Desktop
53.0,85300.0,Desktop
31.0,95125.0,Mobile
48.0,25037.0,Mobile
65.0,180177.0,Desktop
32.0,151492.0,Mobile
25.0,115117.0,Mobile
31.0,24779.0,Desktop
40.0,26444.0,Desktop
57.0,105654.0,Tablet
38.0,190599.0,Mobile
33.0,87623.0,Mobile
62.0,139149.0,Desktop
35.0,154865.0,Mobile
64.0,182454.0,Tablet
41.0,148221.0,Tablet
43.0,56347.0,Tablet
42.0,145978.0,Desktop
62.0,67832.0,Mobile
58.0,165738.0,Mobile
46.0,17696.0,Tablet
32.0,178245.0,Mobile
62.0,27626.0,Tablet
18.0,193359.0,Tablet
42.0,68303.0,Tablet
24.0,59793.0,Desktop
26.0,177363.0,Tablet
41.0,61207.0,Desktop
18.0,48484.0,Tablet
61.0,102765.0,Desktop
25.0,151830.0,Mobile
41.0,79495.0,Tablet
28.0,178323.0,Desktop
68.0,67807.0,Tablet
34.0,121809.0,Desktop
25.0,115584.0,Mobile
52.0,66774.0,Tablet
52.0,89615.0,Tablet
50.0,101262.0,Tablet
22.0,197713.0,Desktop
59.0,164378.0,Mobile
56.0,72201.0,Tablet
58.0,51797.0,Mobile
45.0,149135.0,Tablet
24.0,58147.0,Desktop
26.0,84428.0,Desktop
25.0,98657.0,Desktop
29.0,166676.0,Tablet
51.0,41484.0,Desktop
50.0,188402.0,Mobile
65.0,143593.0,Tablet
40.0,74321.0,Tablet
41.0,195199.0,Tablet
54.0,115758.0,Desktop
52.0,30828.0,Mobile
61.0,142139.0,Desktop
57.0,19957.0,Desktop
39.0,33671.0,Tablet
44.0,137838.0,Desktop
52.0,119596.0,Mobile
